Team,Base Camp,Training Ground,Qualified as,Previous appearances
Albania,Kamen,SportCentrum Kaiserau,Group E winner,1
Austria,Berlin,Mommsenstadion,Group F runner-up,3
Belgium,Ludwigsburg,"Wasenstadion, SGV Freiberg am Neckar",Group F winner,6
Croatia,Neuruppin,Volksparkstadion,Group D runner-up,6
Czech Republic,Hamburg,Edmund-Plambeck-Stadion,Group E runner-up,10
Denmark,Freudenstadt,Hermann-Saam-Stadion,Group H winner,9
England,Blankenhain,Golfresort Weimarer Land,Group C winner,10
France,Bad Lippspringe,Home Deluxe Arena,Group B winner,10
Georgia,Velbert,SSVg Velbert,Play-off Path C winner,0
Germany,Herzogenaurach,Adidas Campus/HomeGround,Host,13
Hungary,Weiler-Simmerberg,"Tannenhof Resort, Sport & Spa",Group G winner,4
Italy,Iserlohn,Hemberg-Stadion,Group C runner-up,10
Netherlands,Wolfsburg,AOK Stadion,Group B runner-up,10
Poland,Hanover,Eilenriedestadion,Play-off Path A winner,4
Portugal,Harsewinkel,Hotel-Residence Klosterpforte Marienfeld / Sports grounds,Group J winner,8
Romania,Würzburg,Akon Arena,Group I winner,5
Scotland,Garmisch-Partenkirchen,Stadion am Gröben,Group A runner-up,3
Serbia,Augsburg,Rosenaustadion,Group G runner-up,5
Slovakia,Mainz,Bruchwegstadion,Group J runner-up,5
Slovenia,Wuppertal,Stadion am Zoo,Group H runner-up,1
Spain,Donaueschingen,Der Öschberghof,Group A winner,11
Switzerland,Stuttgart,Gazi-Stadion auf der Waldau,Group I runner-up,5
Turkey,Barsinghausen,Sporthotel Fuchsbachtal,Group D winner,5
Ukraine,Wiesbaden,Stadion am Halberg,Play-off Path B winner,3
