Team,Base Camp,Training Ground
Albania,Kamen,SportCentrum Kaiserau
Austria,Berlin,Mommsenstadion
Belgium,Ludwigsburg,"Wasenstadion, SGV Freiberg am Neckar"
Croatia,Neuruppin,Volksparkstadion
Czech Republic,Hamburg,Edmund-Plambeck-Stadion
Denmark,Freudenstadt,Hermann-Saam-Stadion
England,Blankenhain,Golfresort Weimarer Land
France,Bad Lippspringe,Home Deluxe Arena
Georgia,Velbert,SSVg Velbert
Germany,Herzogenaurach,Adidas Campus/HomeGround
Hungary,Weiler-Simmerberg,"Tannenhof Resort, Sport & Spa"
Italy,Iserlohn,Hemberg-Stadion
Netherlands,Wolfsburg,AOK Stadion
Poland,Hanover,Eilenriedestadion
Portugal,Harsewinkel,Hotel-Residence Klosterpforte Marienfeld / Sports grounds
Romania,Würzburg,Akon Arena
Scotland,Garmisch-Partenkirchen,Stadion am Gröben
Serbia,Augsburg,Rosenaustadion
Slovakia,Mainz,Bruchwegstadion
Slovenia,Wuppertal,Stadion am Zoo
Spain,Donaueschingen,Der Öschberghof
Switzerland,Stuttgart,Gazi-Stadion auf der Waldau
Turkey,Barsinghausen,Sporthotel Fuchsbachtal
Ukraine,Wiesbaden,Stadion am Halberg
